Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
25.04. 01:30:00;18;0;18;0;0;0;5.5;71.6
25.04. 01:45:00;18;0;18;0;0;0;5.5;71.6
25.04. 02:00:00;18;0;18;0;0;0;5;76.8
25.04. 02:15:00;18;0;18;0;0;0;5;76.9
25.04. 02:30:00;18;0;18;0;0;0;5;76.9
25.04. 02:45:00;18;0;18;0;0;0;5;76.9
25.04. 03:00:00;18;0;18;0;0;0;4.7;79.6
25.04. 03:15:00;18;0;18;0;0;0;4.7;79.6
25.04. 03:30:00;18;0;18;0;0;0;4.7;79.6
25.04. 03:45:00;18;0;18;0;0;0;4.7;79.6
25.04. 04:00:00;18;0;18;0;0;0;4.4;80.6
25.04. 04:15:00;18;0;18;0;0;0;4.4;80.6
25.04. 04:30:00;18;0;18;0;0;0;4.4;80.6
25.04. 04:45:00;18;0;18;0;0;0;4.4;80.6
25.04. 05:00:00;18;0;18;0;0;0;4.3;80.6
25.04. 05:15:00;18;0;18;0;0;0;4.3;80.6
25.04. 05:30:00;18;0;18;0;0;0;4.3;80.6
25.04. 05:45:00;18;0;18;0;0;0;4.3;80.6
25.04. 06:00:00;18;0;18;0;4;4;4.4;77.7
25.04. 06:15:00;18;0;18;0;4;4;4.4;77.7
25.04. 06:30:00;18;0;18;0;4;4;4.4;77.7
25.04. 06:45:00;18;0;18;0;4;4;4.4;77.7
25.04. 07:00:00;18;0;18;677;40.8;155;6.1;67.6
25.04. 07:15:00;18;0;18;677;41;156;6.1;67.5
25.04. 07:30:00;18;0;18;677;41;156;6.1;67.5
25.04. 07:45:00;18;0;18;677;41;156;6.1;67.5
25.04. 08:00:00;18;0;18;838;63.9;355;8.3;60.7
25.04. 08:15:00;18;0;18;838;64;356;8.3;60.7
25.04. 08:30:00;18;0;18;838;64;356;8.3;60.7
25.04. 08:45:00;18;0;18;838;64;356;8.3;60.7
25.04. 09:00:00;18;0;18;938;101;578;10.7;55.1
25.04. 09:15:00;18;0;18;938;101;579;10.7;55.1
25.04. 09:30:00;18;0;18;938;101;579;10.7;55.1
25.04. 09:45:00;18;0;18;938;101;579;10.7;55.1
25.04. 10:00:00;18;0;18;976;133;762;13;42.3
25.04. 10:15:00;18;0;18;976;133;763;13;42.2
25.04. 10:30:00;18;0;18;976;133;763;13;42.2
25.04. 10:45:00;18;0;18;976;133;763;13;42.2
25.04. 11:00:00;18;0;18;802;303;903;15.1;36.2
25.04. 11:15:00;18;0;18;802;304;904;15.1;36.2
25.04. 11:30:00;18;0;18;802;304;904;15.1;36.2
25.04. 11:45:00;18;0;18;802;304;904;15.1;36.2
25.04. 12:00:00;18;0;18;73.9;346;409;14.8;36.1
25.04. 12:15:00;18;0;18;73.9;346;406;14.8;36.1
25.04. 12:30:00;18;0;18;73.9;346;406;14.8;36.1
25.04. 12:45:00;18;0;18;73.9;346;406;14.8;36.1
25.04. 13:00:00;18;0;18;79.5;380;446;14.7;37
25.04. 13:15:00;18;0;18;79.5;380;446;14.7;37
25.04. 13:30:00;18;0;18;79.5;380;446;14.7;37
25.04. 13:45:00;18;0;18;79.5;380;446;14.7;37
25.04. 14:00:00;18;0;18;26.1;343;364;14.3;40.7
25.04. 14:15:00;18;0;18;26.1;343;364;14.3;40.7
25.04. 14:30:00;18;0;18;26.1;343;364;14.3;40.7
25.04. 14:45:00;18;0;18;26.1;343;364;14.3;40.7
25.04. 15:00:00;18;0;18;9.6;258;266;13.6;42.6
25.04. 15:15:00;18;0;18;9.6;258;265;13.6;42.6
25.04. 15:30:00;18;0;18;9.6;258;265;13.6;42.6
25.04. 15:45:00;18;0;18;9.6;258;265;13.6;42.6
25.04. 16:00:00;18;0;18;4.8;202;205;12.8;45.4
25.04. 16:15:00;18;0;18;4.8;202;205;12.8;45.4
25.04. 16:30:00;18;0;18;4.8;202;205;12.8;45.4
25.04. 16:45:00;18;0;18;4.8;202;205;12.8;45.4
25.04. 17:00:00;18;0;18;4.2;165;167;11.9;50.2
25.04. 17:15:00;18;0;18;4.2;165;167;11.9;50.2
25.04. 17:30:00;18;0;18;4.2;165;167;11.9;50.2
25.04. 17:45:00;18;0;18;4.2;165;167;11.9;50.2
25.04. 18:00:00;18;0;18;0;84.4;84.5;11;55.4
25.04. 18:15:00;18;0;18;0;84;84;11;55.4
25.04. 18:30:00;18;0;18;0;84;84;11;55.4
25.04. 18:45:00;18;0;18;0;84;84;11;55.4
25.04. 19:00:00;18;0;18;0;25.3;25.3;10;56.1
25.04. 19:15:00;18;0;18;0;25;25;10;56.1
25.04. 19:30:00;18;0;18;0;25;25;10;56.1
25.04. 19:45:00;18;0;18;0;25;25;10;56.1
25.04. 20:00:00;18;0;18;0;1.1;1.1;9.1;58.6
25.04. 20:15:00;18;0;18;0;1;1;9.1;58.6
25.04. 20:30:00;18;0;18;0;1;1;9.1;58.6
25.04. 20:45:00;18;0;18;0;1;1;9.1;58.6
25.04. 21:00:00;18;0;18;0;0.01;0.01;8.6;61.8
25.04. 21:15:00;18;0;18;0;0;0;8.6;61.8
25.04. 21:30:00;18;0;18;0;0;0;8.6;61.8
25.04. 21:45:00;18;0;18;0;0;0;8.6;61.8
25.04. 22:00:00;18;0;18;0;0;0;8.2;63.2
25.04. 22:15:00;18;0;18;0;0;0;8.2;63.2
25.04. 22:30:00;18;0;18;0;0;0;8.2;63.2
25.04. 22:45:00;18;0;18;0;0;0;8.2;63.2
25.04. 23:00:00;18;0;18;0;0;0;7.7;65.6
25.04. 23:15:00;18;0;18;0;0;0;7.7;65.6
25.04. 23:30:00;18;0;18;0;0;0;7.7;65.6
25.04. 23:45:00;18;0;18;0;0;0;7.7;65.6
26.04. 00:00:00;18;0;18;0;0;0;7.3;80.2
26.04. 00:15:00;18;0;18;0;0;0;7.3;80.3
26.04. 00:30:00;18;0;18;0;0;0;7.3;80.3
26.04. 00:45:00;18;0;18;0;0;0;7.3;80.3
26.04. 01:00:00;18;0;18;0;0;0;6.9;84.4
26.04. 01:15:00;18;0;18;0;0;0;6.9;84.5
26.04. 01:30:00;18;0;18;0;0;0;6.9;84.5
26.04. 01:45:00;18;0;18;0;0;0;6.9;84.5
26.04. 02:00:00;18;0;18;0;0;0;6.6;84.5
26.04. 02:15:00;18;0;18;0;0;0;6.6;84.5
26.04. 02:30:00;18;0;18;0;0;0;6.6;84.5
26.04. 02:45:00;18;0;18;0;0;0;6.6;84.5
26.04. 03:00:00;18;0;18;0;0;0;6.4;84.5
26.04. 03:15:00;18;0;18;0;0;0;6.4;84.5
26.04. 03:30:00;18;0;18;0;0;0;6.4;84.5
26.04. 03:45:00;18;0;18;0;0;0;6.4;84.5
26.04. 04:00:00;18;0;18;0;0;0;6.2;84.5
26.04. 04:15:00;18;0;18;0;0;0;6.2;84.5
26.04. 04:30:00;18;0;18;0;0;0;6.2;84.5
26.04. 04:45:00;18;0;18;0;0;0;6.2;84.5
26.04. 05:00:00;18;0;18;0;0;0;6;84.5
26.04. 05:15:00;18;0;18;0;0;0;6;84.5
26.04. 05:30:00;18;0;18;0;0;0;6;84.5
26.04. 05:45:00;18;0;18;0;0;0;6;84.5
26.04. 06:00:00;18;0;18;0;4;4;6.1;84.5
26.04. 06:15:00;18;0;18;0;4;4;6.1;84.5
26.04. 06:30:00;18;0;18;0;4;4;6.1;84.5
26.04. 06:45:00;18;0;18;0;4;4;6.1;84.5
26.04. 07:00:00;18;0;18;74.3;74.6;87.5;7.3;80.3
26.04. 07:15:00;18;0;18;74.3;75;88;7.3;80.3
26.04. 07:30:00;18;0;18;74.3;75;88;7.3;80.3
26.04. 07:45:00;18;0;18;74.3;75;88;7.3;80.3
26.04. 08:00:00;18;0;18;119;162;203;8.8;67.9
26.04. 08:15:00;18;0;18;119;162;204;8.8;67.8
26.04. 08:30:00;18;0;18;119;162;204;8.8;67.8
26.04. 08:45:00;18;0;18;119;162;204;8.8;67.8
26.04. 09:00:00;18;0;18;101;249;300;10.2;62.5
26.04. 09:15:00;18;0;18;101;249;301;10.2;62.5
26.04. 09:30:00;18;0;18;101;249;301;10.2;62.5
26.04. 09:45:00;18;0;18;101;249;301;10.2;62.5
26.04. 10:00:00;18;0;18;108;315;385;11.5;53.6
26.04. 10:15:00;18;0;18;108;315;385;11.5;53.6
26.04. 10:30:00;18;0;18;108;315;385;11.5;53.6
26.04. 10:45:00;18;0;18;108;315;385;11.5;53.6
26.04. 11:00:00;18;0;18;116;380;467;12.7;63.8
26.04. 11:15:00;18;0;18;116;380;467;12.7;63.9
26.04. 11:30:00;18;0;18;116;380;467;12.7;63.9
26.04. 11:45:00;18;0;18;116;380;467;12.7;63.9
26.04. 12:00:00;18;0;18;134;404;513;13.9;46.8
26.04. 12:15:00;18;0;18;134;404;513;13.9;46.7
26.04. 12:30:00;18;0;18;134;404;513;13.9;46.7
26.04. 12:45:00;18;0;18;134;404;513;13.9;46.7
26.04. 13:00:00;18;0;18;155;402;531;14.8;41.6
26.04. 13:15:00;18;0;18;155;402;531;14.8;41.6
26.04. 13:30:00;18;0;18;155;402;531;14.8;41.6
26.04. 13:45:00;18;0;18;155;402;531;14.8;41.6
26.04. 14:00:00;18;0;18;105;378;463;15.2;37.4
26.04. 14:15:00;18;0;18;105;378;463;15.2;37.4
26.04. 14:30:00;18;0;18;105;378;463;15.2;37.4
26.04. 14:45:00;18;0;18;105;378;463;15.2;37.4
26.04. 15:00:00;18;0;18;92.4;362;430;15.5;35.6
26.04. 15:15:00;18;0;18;92.4;362;430;15.5;35.6
26.04. 15:30:00;18;0;18;92.4;362;430;15.5;35.6
26.04. 15:45:00;18;0;18;92.4;362;430;15.5;35.6
26.04. 16:00:00;18;0;18;94.2;297;356;15.6;37
26.04. 16:15:00;18;0;18;94.2;297;356;15.6;37
26.04. 16:30:00;18;0;18;94.2;297;356;15.6;37
26.04. 16:45:00;18;0;18;94.2;297;356;15.6;37
26.04. 17:00:00;18;0;18;66;219;252;15.2;38.2
26.04. 17:15:00;18;0;18;66;219;251;15.2;38.2
26.04. 17:30:00;18;0;18;66;219;251;15.2;38.2
26.04. 17:45:00;18;0;18;66;219;251;15.2;38.2
26.04. 18:00:00;18;0;18;12.5;124;128;14.4;39.7
26.04. 18:15:00;18;0;18;12.5;123;127;14.4;39.7
26.04. 18:30:00;18;0;18;12.5;123;127;14.4;39.7
26.04. 18:45:00;18;0;18;12.5;123;127;14.4;39.7
26.04. 19:00:00;18;0;18;0;47.4;47.4;13.4;42.7
26.04. 19:15:00;18;0;18;0;47;47;13.4;42.7
26.04. 19:30:00;18;0;18;0;47;47;13.4;42.7
26.04. 19:45:00;18;0;18;0;47;47;13.4;42.7
26.04. 20:00:00;18;0;18;0;1.3;1.3;12.5;44.8
26.04. 20:15:00;18;0;18;0;1;1;12.5;44.8
26.04. 20:30:00;18;0;18;0;1;1;12.5;44.8
26.04. 20:45:00;18;0;18;0;1;1;12.5;44.8
26.04. 21:00:00;18;0;18;0;0.01;0.01;11.1;50.4
26.04. 21:15:00;18;0;18;0;0;0;11.1;50.4
26.04. 21:30:00;18;0;18;0;0;0;11.1;50.4
26.04. 21:45:00;18;0;18;0;0;0;11.1;50.4
26.04. 22:00:00;18;0;18;0;0;0;9.7;50.5
26.04. 22:15:00;18;0;18;0;0;0;9.7;50.5
26.04. 22:30:00;18;0;18;0;0;0;9.7;50.5
26.04. 22:45:00;18;0;18;0;0;0;9.7;50.5
26.04. 23:00:00;18;0;18;0;0;0;8.3;56.9
26.04. 23:15:00;18;0;18;0;0;0;8.3;56.9
26.04. 23:30:00;18;0;18;0;0;0;8.3;56.9
26.04. 23:45:00;18;0;18;0;0;0;8.3;56.9
27.04. 00:00:00;18;0;18;0;0;0;6.9;64.1
27.04. 00:15:00;18;0;18;0;0;0;6.9;64.1
27.04. 00:30:00;18;0;18;0;0;0;6.9;64.1
27.04. 00:45:00;18;0;18;0;0;0;6.9;64.1
27.04. 01:00:00;18;0;18;0;0;0;5.6;67.3
27.04. 01:15:00;18;0;18;0;0;0;5.6;67.4
27.04. 01:30:00;18;0;18;0;0;0;5.6;67.4
27.04. 01:45:00;18;0;18;0;0;0;5.6;67.4
27.04. 02:00:00;18;0;18;0;0;0;4.2;75.6
27.04. 02:15:00;18;0;18;0;0;0;4.2;75.7
27.04. 02:30:00;18;0;18;0;0;0;4.2;75.7
27.04. 02:45:00;18;0;18;0;0;0;4.2;75.7
27.04. 03:00:00;18;0;18;0;0;0;3.4;76.4
27.04. 03:15:00;18;0;18;0;0;0;3.4;76.4
27.04. 03:30:00;18;0;18;0;0;0;3.4;76.4
27.04. 03:45:00;18;0;18;0;0;0;3.4;76.4
27.04. 04:00:00;18;0;18;0;0;0;2.6;75.8
27.04. 04:15:00;18;0;18;0;0;0;2.6;75.8
27.04. 04:30:00;18;0;18;0;0;0;2.6;75.8
27.04. 04:45:00;18;0;18;0;0;0;2.6;75.8
27.04. 05:00:00;18;0;18;0;0;0;2.1;77.3
27.04. 05:15:00;18;0;18;0;0;0;2.1;77.3
27.04. 05:30:00;18;0;18;0;0;0;2.1;77.3
27.04. 05:45:00;18;0;18;0;0;0;2.1;77.3
27.04. 06:00:00;18;0;18;0;5;5;2.1;70.7
27.04. 06:15:00;18;0;18;0;5;5;2.1;70.7
27.04. 06:30:00;18;0;18;0;5;5;2.1;70.7
27.04. 06:45:00;18;0;18;0;5;5;2.1;70.7
27.04. 07:00:00;18;0;18;234;62.7;104;3.3;67.7
27.04. 07:15:00;18;0;18;234;63;105;3.3;67.7
27.04. 07:30:00;18;0;18;234;63;105;3.3;67.7
27.04. 07:45:00;18;0;18;234;63;105;3.3;67.7
27.04. 08:00:00;18;0;18;174;165;227;4.7;62.8
27.04. 08:15:00;18;0;18;174;166;228;4.7;62.8
27.04. 08:30:00;18;0;18;174;166;228;4.7;62.8
27.04. 08:45:00;18;0;18;174;166;228;4.7;62.8
27.04. 09:00:00;18;0;18;307;204;362;6.3;57.9
27.04. 09:15:00;18;0;18;307;204;363;6.3;57.9
27.04. 09:30:00;18;0;18;307;204;363;6.3;57.9
27.04. 09:45:00;18;0;18;307;204;363;6.3;57.9
27.04. 10:00:00;18;0;18;357;269;501;7.9;48.2
27.04. 10:15:00;18;0;18;357;269;502;7.9;48.1
27.04. 10:30:00;18;0;18;357;269;502;7.9;48.1
27.04. 10:45:00;18;0;18;357;269;502;7.9;48.1
27.04. 11:00:00;18;0;18;467;277;629;9.5;44.4
27.04. 11:15:00;18;0;18;467;277;630;9.5;44.4
27.04. 11:30:00;18;0;18;467;277;630;9.5;44.4
27.04. 11:45:00;18;0;18;467;277;630;9.5;44.4
27.04. 12:00:00;18;0;18;438;314;672;10.8;41.5
27.04. 12:15:00;18;0;18;438;314;672;10.8;41.5
27.04. 12:30:00;18;0;18;438;314;672;10.8;41.5
27.04. 12:45:00;18;0;18;438;314;672;10.8;41.5
27.04. 13:00:00;18;0;18;435;331;695;11.8;41.7
27.04. 13:15:00;18;0;18;435;331;695;11.8;41.7
27.04. 13:30:00;18;0;18;435;331;695;11.8;41.7
27.04. 13:45:00;18;0;18;435;331;695;11.8;41.7
27.04. 14:00:00;18;0;18;545;271;712;12.6;38.5
27.04. 14:15:00;18;0;18;545;271;712;12.6;38.5
27.04. 14:30:00;18;0;18;545;271;712;12.6;38.5
27.04. 14:45:00;18;0;18;545;271;712;12.6;38.5
27.04. 15:00:00;18;0;18;670;205;700;13.2;37
27.04. 15:15:00;18;0;18;670;205;700;13.2;37
27.04. 15:30:00;18;0;18;670;205;700;13.2;37
27.04. 15:45:00;18;0;18;670;205;700;13.2;37
27.04. 16:00:00;18;0;18;649;152;561;13.3;39.1
27.04. 16:15:00;18;0;18;649;152;560;13.3;39.1
27.04. 16:30:00;18;0;18;649;152;560;13.3;39.1
27.04. 16:45:00;18;0;18;649;152;560;13.3;39.1
27.04. 17:00:00;18;0;18;711;91.3;439;13.1;41.8
27.04. 17:15:00;18;0;18;711;91;438;13.1;41.8
27.04. 17:30:00;18;0;18;711;91;438;13.1;41.8
27.04. 17:45:00;18;0;18;711;91;438;13.1;41.8
27.04. 18:00:00;18;0;18;655;66.1;279;12.3;47.8
27.04. 18:15:00;18;0;18;655;66;278;12.3;47.8
27.04. 18:30:00;18;0;18;655;66;278;12.3;47.8
27.04. 18:45:00;18;0;18;655;66;278;12.3;47.8
27.04. 19:00:00;18;0;18;343;48.1;98;11;52.4
27.04. 19:15:00;18;0;18;343;48;97;11;52.4
27.04. 19:30:00;18;0;18;343;48;97;11;52.4
27.04. 19:45:00;18;0;18;343;48;97;11;52.4
27.04. 20:00:00;18;0;18;0;2.3;2.5;9.6;58.9
27.04. 20:15:00;18;0;18;0;2;2;9.6;58.9
27.04. 20:30:00;18;0;18;0;2;2;9.6;58.9
27.04. 20:45:00;18;0;18;0;2;2;9.6;58.9
27.04. 21:00:00;18;0;18;0;0.01;0.01;8.7;72.3
27.04. 21:15:00;18;0;18;0;0;0;8.7;72.4
27.04. 21:30:00;18;0;18;0;0;0;8.7;72.4
27.04. 21:45:00;18;0;18;0;0;0;8.7;72.4
27.04. 22:00:00;18;0;18;0;0;0;7.9;81.7
27.04. 22:15:00;18;0;18;0;0;0;7.9;81.8
27.04. 22:30:00;18;0;18;0;0;0;7.9;81.8
27.04. 22:45:00;18;0;18;0;0;0;7.9;81.8
27.04. 23:00:00;18;0;18;0;0;0;7.1;82.7
27.04. 23:15:00;18;0;18;0;0;0;7.1;82.7
27.04. 23:30:00;18;0;18;0;0;0;7.1;82.7
27.04. 23:45:00;18;0;18;0;0;0;7.1;82.7
28.04. 00:00:00;18;0;18;0;0;0;6.3;85.4
28.04. 00:15:00;18;0;18;0;0;0;6.3;85.4
28.04. 00:30:00;18;0;18;0;0;0;6.3;85.4
28.04. 00:45:00;18;0;18;0;0;0;6.3;85.4
28.04. 01:00:00;18;0;18;0;0;0;6.2;88.6
28.04. 01:15:00;18;0;18;0;0;0;6.2;88.7
28.04. 01:30:00;18;0;18;0;0;0;6.2;88.7
28.04. 01:45:00;18;0;18;0;0;0;6.2;88.7
28.04. 02:00:00;18;0;18;0;0;0;6.1;86.9
28.04. 02:15:00;18;0;18;0;0;0;6.1;86.9
28.04. 02:30:00;18;0;18;0;0;0;6.1;86.9
28.04. 02:45:00;18;0;18;0;0;0;6.1;86.9
28.04. 03:00:00;18;0;18;0;0;0;6;88.6
28.04. 03:15:00;18;0;18;0;0;0;6;88.6
28.04. 03:30:00;18;0;18;0;0;0;6;88.6
28.04. 03:45:00;18;0;18;0;0;0;6;88.6
28.04. 04:00:00;18;0;18;0;0;0;6;86.3
28.04. 04:15:00;18;0;18;0;0;0;6;86.3
28.04. 04:30:00;18;0;18;0;0;0;6;86.3
28.04. 04:45:00;18;0;18;0;0;0;6;86.3
28.04. 05:00:00;18;0;18;0;0;0;6;86
28.04. 05:15:00;18;0;18;0;0;0;6;86
28.04. 05:30:00;18;0;18;0;0;0;6;86
28.04. 05:45:00;18;0;18;0;0;0;6;86
28.04. 06:00:00;18;0;18;0;3;3;6;91.3
28.04. 06:15:00;18;0;18;0;3;3;6;91.3
28.04. 06:30:00;18;0;18;0;3;3;6;91.3
28.04. 06:45:00;18;0;18;0;3;3;6;91.3
28.04. 07:00:00;18;0;18;0;47.8;47.8;6.5;89.9
28.04. 07:15:00;18;0;18;0;48;48;6.5;89.9
28.04. 07:30:00;18;0;18;0;48;48;6.5;89.9
28.04. 07:45:00;18;0;18;0;48;48;6.5;89.9
28.04. 08:00:00;18;0;18;0;43;43;6.1;87.2
28.04. 08:15:00;18;0;18;0;43;43;6.1;87.2
28.04. 08:30:00;18;0;18;0;43;43;6.1;87.2
28.04. 08:45:00;18;0;18;0;43;43;6.1;87.2
28.04. 09:00:00;18;0;18;26.8;197;211;8.2;80.3
28.04. 09:15:00;18;0;18;26.8;198;212;8.2;80.3
28.04. 09:30:00;18;0;18;26.8;198;212;8.2;80.3
28.04. 09:45:00;18;0;18;26.8;198;212;8.2;80.3
28.04. 10:00:00;18;0;18;0;146;146;8.4;84.5
28.04. 10:15:00;18;0;18;0;146;146;8.4;84.5
28.04. 10:30:00;18;0;18;0;146;146;8.4;84.5
28.04. 10:45:00;18;0;18;0;146;146;8.4;84.5
28.04. 11:00:00;18;0;18;15.8;274;286;9.6;80.3
28.04. 11:15:00;18;0;18;15.8;275;287;9.6;80.3
28.04. 11:30:00;18;0;18;15.8;275;287;9.6;80.3
28.04. 11:45:00;18;0;18;15.8;275;287;9.6;80.3
28.04. 12:00:00;18;0;18;3.7;248;251;10.3;80.2
28.04. 12:15:00;18;0;18;3.7;248;251;10.3;80.2
28.04. 12:30:00;18;0;18;3.7;248;251;10.3;80.2
28.04. 12:45:00;18;0;18;3.7;248;251;10.3;80.2
28.04. 13:00:00;18;0;18;8.3;264;271;10.8;80.2
28.04. 13:15:00;18;0;18;8.3;264;271;10.8;80.2
28.04. 13:30:00;18;0;18;8.3;264;271;10.8;80.2
28.04. 13:45:00;18;0;18;8.3;264;271;10.8;80.2
28.04. 14:00:00;18;0;18;3.7;200;203;10.9;80.2
28.04. 14:15:00;18;0;18;3.7;200;203;10.9;80.2
28.04. 14:30:00;18;0;18;3.7;200;203;10.9;80.2
28.04. 14:45:00;18;0;18;3.7;200;203;10.9;80.2
28.04. 15:00:00;18;0;18;13.5;275;285;11.2;80.2
28.04. 15:15:00;18;0;18;13.5;275;285;11.2;80.2
28.04. 15:30:00;18;0;18;13.5;275;285;11.2;80.2
28.04. 15:45:00;18;0;18;13.5;275;285;11.2;80.2
28.04. 16:00:00;18;0;18;17.4;250;261;11.6;62.8
28.04. 16:15:00;18;0;18;17.4;250;261;11.6;62.7
28.04. 16:30:00;18;0;18;17.4;250;261;11.6;62.7
28.04. 16:45:00;18;0;18;17.4;250;261;11.6;62.7
28.04. 17:00:00;18;0;18;0;153;153;11.4;60
28.04. 17:15:00;18;0;18;0;152;152;11.4;60
28.04. 17:30:00;18;0;18;0;152;152;11.4;60
28.04. 17:45:00;18;0;18;0;152;152;11.4;60
28.04. 18:00:00;18;0;18;0;95.3;95.3;11;77.1
28.04. 18:15:00;18;0;18;0;95;95;11;77.2
28.04. 18:30:00;18;0;18;0;95;95;11;77.2
28.04. 18:45:00;18;0;18;0;95;95;11;77.2
28.04. 19:00:00;18;0;18;0;32.3;32.3;10.6;65.7
28.04. 19:15:00;18;0;18;0;32;32;10.6;65.6
28.04. 19:30:00;18;0;18;0;32;32;10.6;65.6
28.04. 19:45:00;18;0;18;0;32;32;10.6;65.6
28.04. 20:00:00;18;0;18;0;1.2;1.2;10;80.1
28.04. 20:15:00;18;0;18;0;1;1;10;80.2
28.04. 20:30:00;18;0;18;0;1;1;10;80.2
28.04. 20:45:00;18;0;18;0;1;1;10;80.2
28.04. 21:00:00;18;0;18;0;0.01;0.01;9.2;80.3
28.04. 21:15:00;18;0;18;0;0;0;9.2;80.3
28.04. 21:30:00;18;0;18;0;0;0;9.2;80.3
28.04. 21:45:00;18;0;18;0;0;0;9.2;80.3
28.04. 22:00:00;18;0;18;0;0;0;8.3;80.3
28.04. 22:15:00;18;0;18;0;0;0;8.3;80.3
28.04. 22:30:00;18;0;18;0;0;0;8.3;80.3
28.04. 22:45:00;18;0;18;0;0;0;8.3;80.3
28.04. 23:00:00;18;0;18;0;0;0;7.5;80.3
28.04. 23:15:00;18;0;18;0;0;0;7.5;80.3
28.04. 23:30:00;18;0;18;0;0;0;7.5;80.3
28.04. 23:45:00;18;0;18;0;0;0;7.5;80.3
29.04. 00:00:00;18;0;18;0;0;0;6.6;80.3
29.04. 00:15:00;18;0;18;0;0;0;6.6;80.3
29.04. 00:30:00;18;0;18;0;0;0;6.6;80.3
29.04. 00:45:00;18;0;18;0;0;0;6.6;80.3
29.04. 01:00:00;18;0;18;0;0;0;5.8;85.6
29.04. 01:15:00;18;0;18;0;0;0;5.8;85.7
29.04. 01:30:00;18;0;18;0;0;0;5.8;85.7
29.04. 01:45:00;18;0;18;0;0;0;5.8;85.7
29.04. 02:00:00;18;0;18;0;0;0;4.8;88.5
29.04. 02:15:00;18;0;18;0;0;0;4.8;88.5
29.04. 02:30:00;18;0;18;0;0;0;4.8;88.5
29.04. 02:45:00;18;0;18;0;0;0;4.8;88.5
29.04. 03:00:00;18;0;18;0;0;0;4.2;86.5
29.04. 03:15:00;18;0;18;0;0;0;4.2;86.5
29.04. 03:30:00;18;0;18;0;0;0;4.2;86.5
29.04. 03:45:00;18;0;18;0;0;0;4.2;86.5
29.04. 04:00:00;18;0;18;0;0;0;3.7;86.7
29.04. 04:15:00;18;0;18;0;0;0;3.7;86.7
29.04. 04:30:00;18;0;18;0;0;0;3.7;86.7
29.04. 04:45:00;18;0;18;0;0;0;3.7;86.7
29.04. 05:00:00;18;0;18;0;0;0;3.3;91.3
29.04. 05:15:00;18;0;18;0;0;0;3.3;91.3
29.04. 05:30:00;18;0;18;0;0;0;3.3;91.3
29.04. 05:45:00;18;0;18;0;0;0;3.3;91.3
29.04. 06:00:00;18;0;18;0;6;6;3.3;87.3
29.04. 06:15:00;18;0;18;0;6;6;3.3;87.3
29.04. 06:30:00;18;0;18;0;6;6;3.3;87.3
29.04. 06:45:00;18;0;18;0;6;6;3.3;87.3
29.04. 07:00:00;18;0;18;290;61.7;116;4.8;77
29.04. 07:15:00;18;0;18;290;62;117;4.8;76.9
29.04. 07:30:00;18;0;18;290;62;117;4.8;76.9
29.04. 07:45:00;18;0;18;290;62;117;4.8;76.9
29.04. 08:00:00;18;0;18;451;111;275;6.6;67.3
29.04. 08:15:00;18;0;18;451;111;276;6.6;67.2
29.04. 08:30:00;18;0;18;451;111;276;6.6;67.2
29.04. 08:45:00;18;0;18;451;111;276;6.6;67.2
29.04. 09:00:00;18;0;18;600;130;444;8.7;62.2
29.04. 09:15:00;18;0;18;600;130;445;8.7;62.2
29.04. 09:30:00;18;0;18;600;130;445;8.7;62.2
29.04. 09:45:00;18;0;18;600;130;445;8.7;62.2
29.04. 10:00:00;18;0;18;648;166;593;10.7;47.8
29.04. 10:15:00;18;0;18;648;166;594;10.7;47.7
29.04. 10:30:00;18;0;18;648;166;594;10.7;47.7
29.04. 10:45:00;18;0;18;648;166;594;10.7;47.7
29.04. 11:00:00;18;0;18;607;232;694;12.5;45.3
29.04. 11:15:00;18;0;18;607;232;695;12.5;45.3
29.04. 11:30:00;18;0;18;607;232;695;12.5;45.3
29.04. 11:45:00;18;0;18;607;232;695;12.5;45.3
29.04. 12:00:00;18;0;18;603;247;744;13.9;38.4
29.04. 12:15:00;18;0;18;603;247;744;13.9;38.4
29.04. 12:30:00;18;0;18;603;247;744;13.9;38.4
29.04. 12:45:00;18;0;18;603;247;744;13.9;38.4
29.04. 13:00:00;18;0;18;585;277;770;15;32.9
29.04. 13:15:00;18;0;18;585;277;770;15;32.9
29.04. 13:30:00;18;0;18;585;277;770;15;32.9
29.04. 13:45:00;18;0;18;585;277;770;15;32.9
29.04. 14:00:00;18;0;18;509;288;703;15.7;31.7
29.04. 14:15:00;18;0;18;509;288;703;15.7;31.7
29.04. 14:30:00;18;0;18;509;288;703;15.7;31.7
29.04. 14:45:00;18;0;18;509;288;703;15.7;31.7
29.04. 15:00:00;18;0;18;407;300;604;15.9;34.1
29.04. 15:15:00;18;0;18;407;300;603;15.9;34.1
29.04. 15:30:00;18;0;18;407;300;603;15.9;34.1
29.04. 15:45:00;18;0;18;407;300;603;15.9;34.1
29.04. 16:00:00;18;0;18;403;242;499;15.8;34.7
29.04. 16:15:00;18;0;18;403;242;498;15.8;34.7
29.04. 16:30:00;18;0;18;403;242;498;15.8;34.7
29.04. 16:45:00;18;0;18;403;242;498;15.8;34.7
29.04. 17:00:00;18;0;18;334;193;359;15.2;36.9
29.04. 17:15:00;18;0;18;334;193;358;15.2;36.9
