Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
01.01. 22:30:00;31.9;0;27.5;0;0;0;3.9;64.3
01.01. 22:45:00;31.3;0;27;0;0;0;3.9;64.3
01.01. 23:00:00;30.6;0;26.6;0;0;0;3.7;67.4
01.01. 23:15:00;33.5;948;21.5;0;0;0;3.7;67.4
01.01. 23:30:00;30.9;952;27.7;0;0;0;3.7;67.4
01.01. 23:45:00;30.7;0;27.4;0;0;0;3.7;67.4
02.01. 00:00:00;30.2;0;27;0;0;0;3.5;83.4
02.01. 00:15:00;29.6;0;26.5;0;0;0;3.5;83.7
02.01. 00:30:00;30.6;950;25;0;0;0;3.5;83.7
02.01. 00:45:00;33.3;952;23.3;0;0;0;3.5;83.7
02.01. 01:00:00;32.9;947;28.6;0;0;0;3.8;83.7
02.01. 01:15:00;32.2;0;27.9;0;0;0;3.8;83.7
02.01. 01:30:00;31.5;0;27.4;0;0;0;3.8;83.7
02.01. 01:45:00;30.9;0;26.9;0;0;0;3.8;83.7
02.01. 02:00:00;31;953;25.5;0;0;0;3.8;83.7
02.01. 02:15:00;33.4;956;22.6;0;0;0;3.8;83.7
02.01. 02:30:00;30.7;955;27.5;0;0;0;3.8;83.7
02.01. 02:45:00;30.4;0;27.3;0;0;0;3.8;83.7
02.01. 03:00:00;29.9;0;26.8;0;0;0;3.9;83.7
02.01. 03:15:00;29.4;0;26.4;0;0;0;3.9;83.7
02.01. 03:30:00;30.4;953;24.9;0;0;0;3.9;83.7
02.01. 03:45:00;33.2;955;23.2;0;0;0;3.9;83.7
02.01. 04:00:00;33.1;950;28.5;0;0;0;3.9;83.7
02.01. 04:15:00;32.5;0;27.7;0;0;0;3.9;83.7
02.01. 04:30:00;31.8;0;27.2;0;0;0;3.9;83.7
02.01. 04:45:00;31.2;0;26.8;0;0;0;3.9;83.7
02.01. 05:00:00;32.9;948;21.3;0;0;0;3.9;83.7
02.01. 05:15:00;31.3;952;27.5;0;0;0;3.9;83.7
02.01. 05:30:00;31;0;27.2;0;0;0;3.9;83.7
02.01. 05:45:00;30.4;0;26.7;0;0;0;3.9;83.7
02.01. 06:00:00;29.9;0;26.3;0;0;0;4;83.7
02.01. 06:15:00;30.5;948;24.8;0;0;0;4;83.7
02.01. 06:30:00;32.7;950;22.9;0;0;0;4;83.7
02.01. 06:45:00;35;947;28.8;0;0;0;4;83.7
02.01. 07:00:00;34.4;0;28.2;0;0;0;4;83.7
02.01. 07:15:00;33.5;0;27.6;0;0;0;4;83.7
02.01. 07:30:00;32.8;0;27.1;0;0;0;4;83.7
02.01. 07:45:00;34;949;21.5;0;0;0;4;83.7
02.01. 08:00:00;32.7;949;29.6;0;2;2;4.2;83.7
02.01. 08:15:00;32;0;28.9;0;2;2;4.2;83.7
02.01. 08:30:00;31.3;0;28.3;0;2;2;4.2;83.7
02.01. 08:45:00;30.7;0;27.8;0;2;2;4.2;83.7
02.01. 09:00:00;31.9;948;24.4;0;45.8;45.8;5.2;79.4
02.01. 09:15:00;31.9;948;24.4;0;46;46;5.2;79.4
02.01. 09:30:00;31.3;0;24.2;0;46;46;5.2;79.4
02.01. 09:45:00;30.7;0;23.9;0;46;46;5.2;79.4
02.01. 10:00:00;30.1;0;23.6;0;74.8;74.8;6;79.4
02.01. 10:15:00;29.5;0;23.4;0;75;75;6;79.4
02.01. 10:30:00;30.7;948;22;0;75;75;6;79.4
02.01. 10:45:00;30.9;0;23.7;0;75;75;6;79.4
02.01. 11:00:00;30.4;0;23.4;0;105;105;6.8;63.3
02.01. 11:15:00;29.8;0;23.2;0;105;105;6.8;63.2
02.01. 11:30:00;29.2;0;22.9;0;105;105;6.8;63.2
02.01. 11:45:00;28.7;0;22.7;0;105;105;6.8;63.2
02.01. 12:00:00;28.2;0;22.4;2.9;122;123;7.5;60.1
02.01. 12:15:00;27.7;0;22.2;2.9;122;123;7.5;60.1
02.01. 12:30:00;27.2;0;22;2.9;122;123;7.5;60.1
02.01. 12:45:00;26.7;0;21.8;2.9;122;123;7.5;60.1
02.01. 13:00:00;26.3;0;21.6;0;112;112;7.8;58.5
02.01. 13:15:00;25.9;0;21.5;0;112;112;7.8;58.5
02.01. 13:30:00;25.5;0;21.3;0;112;112;7.8;58.5
02.01. 13:45:00;25.2;0;21.1;0;112;112;7.8;58.5
02.01. 14:00:00;24.8;0;21;15.6;102;106;8.1;60.9
02.01. 14:15:00;24.5;0;20.8;15.6;102;106;8.1;60.9
02.01. 14:30:00;24.2;0;20.7;15.6;102;106;8.1;60.9
02.01. 14:45:00;23.9;0;20.6;15.6;102;106;8.1;60.9
02.01. 15:00:00;23.6;0;20.4;0;48.3;48.3;7.8;63.2
02.01. 15:15:00;29.9;947;20.8;0;48;48;7.8;63.2
02.01. 15:30:00;33.4;0;24;0;48;48;7.8;63.2
02.01. 15:45:00;32.6;0;23.7;0;48;48;7.8;63.2
02.01. 16:00:00;31.8;0;23.4;0;3.3;3.3;7.2;66.1
02.01. 16:15:00;31.1;0;23.1;0;3;3;7.2;66.1
02.01. 16:30:00;31.3;948;22.2;0;3;3;7.2;66.1
02.01. 16:45:00;31.3;948;24.2;0;3;3;7.2;66.1
02.01. 17:00:00;30.9;0;24.3;0;0.02;0.02;6.9;70.8
02.01. 17:15:00;30.2;0;23.9;0;0;0;6.9;70.8
02.01. 17:30:00;29.6;0;23.6;0;0;0;6.9;70.8
02.01. 17:45:00;31.7;948;21.1;0;0;0;6.9;70.8
02.01. 18:00:00;30.3;948;28.2;0;0;0;6.6;79.4
02.01. 18:15:00;29.7;0;27.5;0;0;0;6.6;79.4
02.01. 18:30:00;29.2;0;27;0;0;0;6.6;79.4
02.01. 18:45:00;28.6;0;26.5;0;0;0;6.6;79.4
02.01. 19:00:00;28.2;951;26;0;0;0;6.4;83.7
02.01. 19:15:00;31.2;952;20.9;0;0;0;6.4;83.7
02.01. 19:30:00;30.5;952;27;0;0;0;6.4;83.7
02.01. 19:45:00;29.9;0;26.5;0;0;0;6.4;83.7
02.01. 20:00:00;29.4;0;26.1;0;0;0;6.1;79.9
02.01. 20:15:00;28.9;0;25.7;0;0;0;6.1;79.9
02.01. 20:30:00;29.4;948;24.3;0;0;0;6.1;79.9
02.01. 20:45:00;31.7;949;22.6;0;0;0;6.1;79.9
02.01. 21:00:00;31.7;946;28.5;0;0;0;5.9;88.7
02.01. 21:15:00;31;0;27.9;0;0;0;5.9;88.7
02.01. 21:30:00;30.4;0;27.3;0;0;0;5.9;88.7
02.01. 21:45:00;29.8;0;26.8;0;0;0;5.9;88.7
02.01. 22:00:00;30.6;953;25.4;0;0;0;5.6;86.6
02.01. 22:15:00;32.8;955;22.8;0;0;0;5.6;86.6
02.01. 22:30:00;30.7;952;27.8;0;0;0;5.6;86.6
02.01. 22:45:00;30.4;0;27.3;0;0;0;5.6;86.6
02.01. 23:00:00;29.9;0;26.8;0;0;0;5.4;90.4
02.01. 23:15:00;29.3;0;26.4;0;0;0;5.4;90.4
02.01. 23:30:00;29.8;949;24.8;0;0;0;5.4;90.4
02.01. 23:45:00;32.3;950;22.7;0;0;0;5.4;90.4
03.01. 00:00:00;32.7;947;28.7;0;0;0;5;94.8
03.01. 00:15:00;32;0;28;0;0;0;5;94.9
03.01. 00:30:00;31.3;0;27.4;0;0;0;5;94.9
03.01. 00:45:00;30.7;0;26.9;0;0;0;5;94.9
03.01. 01:00:00;33.9;947;21.4;0;0;0;4.6;97.1
03.01. 01:15:00;30.7;952;28.1;0;0;0;4.6;97.1
03.01. 01:30:00;30.5;0;27.9;0;0;0;4.6;97.1
03.01. 01:45:00;30;0;27.4;0;0;0;4.6;97.1
03.01. 02:00:00;29.5;0;27;0;0;0;4.1;94.9
03.01. 02:15:00;28.9;0;26.6;0;0;0;4.1;94.9
03.01. 02:30:00;34.1;949;21.4;0;0;0;4.1;94.9
03.01. 02:45:00;30.9;952;28;0;0;0;4.1;94.9
03.01. 03:00:00;30.7;0;27.7;0;0;0;3.9;96.7
03.01. 03:15:00;30.1;0;27.3;0;0;0;3.9;96.7
03.01. 03:30:00;29.6;0;26.9;0;0;0;3.9;96.7
03.01. 03:45:00;30.4;948;25.2;0;0;0;3.9;96.7
03.01. 04:00:00;32.5;950;23;0;0;0;3.7;97.7
03.01. 04:15:00;34.8;947;28.7;0;0;0;3.7;97.7
03.01. 04:30:00;34.1;0;28;0;0;0;3.7;97.7
03.01. 04:45:00;33.3;0;27.5;0;0;0;3.7;97.7
03.01. 05:00:00;32.8;948;26;0;0;0;3.5;97.7
03.01. 05:15:00;33.6;951;22.7;0;0;0;3.5;97.7
03.01. 05:30:00;30.7;951;27.6;0;0;0;3.5;97.7
03.01. 05:45:00;30.5;0;27.3;0;0;0;3.5;97.7
03.01. 06:00:00;30;0;26.9;0;0;0;3.3;97.7
03.01. 06:15:00;29.5;0;26.4;0;0;0;3.3;97.7
03.01. 06:30:00;30.6;951;24.9;0;0;0;3.3;97.7
03.01. 06:45:00;33.3;953;23.3;0;0;0;3.3;97.7
03.01. 07:00:00;33.3;948;28.7;0;0;0;3.2;99.1
03.01. 07:15:00;32.4;0;27.9;0;0;0;3.2;99.1
03.01. 07:30:00;31.8;0;27.4;0;0;0;3.2;99.1
03.01. 07:45:00;31.2;0;26.9;0;0;0;3.2;99.1
03.01. 08:00:00;31.6;948;21;0;5;5;3.3;97.9
03.01. 08:15:00;31;957;27;0;5;5;3.3;97.9
03.01. 08:30:00;30.7;0;26.7;0;5;5;3.3;97.9
03.01. 08:45:00;30.2;0;26.3;0;5;5;3.3;97.9
03.01. 09:00:00;29.7;0;26;65.2;63.7;73.6;4.5;90.5
03.01. 09:15:00;29.2;0;25.6;65.2;64;74;4.5;90.5
03.01. 09:30:00;28.7;0;25.3;65.2;64;74;4.5;90.5
03.01. 09:45:00;28.2;0;24.9;65.2;64;74;4.5;90.5
03.01. 10:00:00;27.7;0;24.6;77.4;111;131;5.6;79.1
03.01. 10:15:00;27.2;0;24.3;77.4;111;131;5.6;79
03.01. 10:30:00;26.8;0;24;77.4;111;131;5.6;79
03.01. 10:45:00;26.3;0;23.7;77.4;111;131;5.6;79
03.01. 11:00:00;25.9;0;23.4;83.7;151;178;6.5;74.3
03.01. 11:15:00;25.5;0;23.1;83.7;151;178;6.5;74.3
03.01. 11:30:00;25.2;0;22.9;83.7;151;178;6.5;74.3
03.01. 11:45:00;24.8;0;22.6;83.7;151;178;6.5;74.3
03.01. 12:00:00;24.5;0;22.4;87.1;159;189;7.2;71.9
03.01. 12:15:00;24.2;0;22.2;87.1;159;189;7.2;71.9
03.01. 12:30:00;23.9;0;22;87.1;159;189;7.2;71.9
03.01. 12:45:00;23.6;0;21.8;87.1;159;189;7.2;71.9
03.01. 13:00:00;23.3;0;21.6;89.8;146;175;7.5;72.6
03.01. 13:15:00;23.1;0;21.4;89.8;146;175;7.5;72.6
03.01. 13:30:00;22.8;0;21.3;89.8;146;175;7.5;72.6
03.01. 13:45:00;22.6;0;21.1;89.8;146;175;7.5;72.6
03.01. 14:00:00;22.4;0;21;23.2;107;113;7.4;71.9
03.01. 14:15:00;22.1;0;20.8;23.2;107;113;7.4;71.9
03.01. 14:30:00;21.9;0;20.7;23.2;107;113;7.4;71.9
03.01. 14:45:00;21.8;0;20.6;23.2;107;113;7.4;71.9
03.01. 15:00:00;21.6;0;20.4;0;56.3;56.3;6.9;69.7
03.01. 15:15:00;21.4;0;20.3;0;56;56;6.9;69.7
03.01. 15:30:00;21.2;0;20.2;0;56;56;6.9;69.7
03.01. 15:45:00;21.1;0;20.1;0;56;56;6.9;69.7
03.01. 16:00:00;20.9;0;20;0;3.3;3.3;6.1;73
03.01. 16:15:00;20.8;0;19.9;0;3;3;6.1;73
03.01. 16:30:00;20.6;0;19.8;0;3;3;6.1;73
03.01. 16:45:00;20.5;0;19.7;0;3;3;6.1;73
03.01. 17:00:00;20.4;0;19.6;0;0.02;0.02;5.7;76.2
03.01. 17:15:00;20.3;0;19.5;0;0;0;5.7;76.2
03.01. 17:30:00;20.1;0;19.5;0;0;0;5.7;76.2
03.01. 17:45:00;34.8;950;21.4;0;0;0;5.7;76.2
03.01. 18:00:00;31.1;949;29.4;0;0;0;5.4;80.8
03.01. 18:15:00;30.4;0;28.5;0;0;0;5.4;80.8
03.01. 18:30:00;29.7;0;27.9;0;0;0;5.4;80.8
03.01. 18:45:00;29.1;0;27.4;0;0;0;5.4;80.8
03.01. 19:00:00;28.8;948;26.9;0;0;0;5;80.2
03.01. 19:15:00;28.9;950;20.8;0;0;0;5;80.2
03.01. 19:30:00;30.5;954;25;0;0;0;5;80.2
03.01. 19:45:00;30.2;0;24.7;0;0;0;5;80.2
03.01. 20:00:00;29.7;0;24.5;0;0;0;4.7;83.8
03.01. 20:15:00;29.2;0;24.2;0;0;0;4.7;83.8
03.01. 20:30:00;29.9;954;23.1;0;0;0;4.7;83.8
03.01. 20:45:00;32.2;956;22.9;0;0;0;4.7;83.8
03.01. 21:00:00;32.2;951;28;0;0;0;4.3;87
03.01. 21:15:00;31.2;0;27.5;0;0;0;4.3;87
03.01. 21:30:00;30.6;0;26.9;0;0;0;4.3;87
03.01. 21:45:00;30;0;26.5;0;0;0;4.3;87
03.01. 22:00:00;31.8;954;25.2;0;0;0;3.9;89.3
03.01. 22:15:00;31.7;956;23.2;0;0;0;3.9;89.3
03.01. 22:30:00;30.4;954;26.5;0;0;0;3.9;89.3
03.01. 22:45:00;30.2;0;26.2;0;0;0;3.9;89.3
03.01. 23:00:00;29.7;0;25.8;0;0;0;3.6;90.9
03.01. 23:15:00;29.2;0;25.5;0;0;0;3.6;90.9
03.01. 23:30:00;37.6;949;22.3;0;0;0;3.6;90.9
03.01. 23:45:00;32.5;949;31.8;0;0;0;3.6;90.9
04.01. 00:00:00;31.8;0;31;0;0;0;3.3;87
04.01. 00:15:00;31.2;0;30.3;0;0;0;3.3;86.9
04.01. 00:30:00;30.6;0;29.7;0;0;0;3.3;86.9
04.01. 00:45:00;30;0;29.1;0;0;0;3.3;86.9
04.01. 01:00:00;33.2;950;21.3;0;0;0;2.9;91.1
04.01. 01:15:00;33.4;950;28.6;0;0;0;2.9;91.2
04.01. 01:30:00;32.7;0;27.8;0;0;0;2.9;91.2
04.01. 01:45:00;32;0;27.3;0;0;0;2.9;91.2
04.01. 02:00:00;31.4;0;26.8;0;0;0;2.7;92.2
04.01. 02:15:00;32;955;25.2;0;0;0;2.7;92.2
04.01. 02:30:00;33.4;957;23.3;0;0;0;2.7;92.2
04.01. 02:45:00;33.4;951;28.8;0;0;0;2.7;92.2
04.01. 03:00:00;32.3;0;28;0;0;0;2.5;92.9
04.01. 03:15:00;31.6;0;27.5;0;0;0;2.5;92.9
04.01. 03:30:00;31;0;27;0;0;0;2.5;92.9
04.01. 03:45:00;37;948;22.3;0;0;0;2.5;92.9
04.01. 04:00:00;33.8;949;32;0;0;0;2.3;96.1
04.01. 04:15:00;32.9;0;31.1;0;0;0;2.3;96.1
04.01. 04:30:00;32.2;0;30.4;0;0;0;2.3;96.1
04.01. 04:45:00;31.5;0;29.8;0;0;0;2.3;96.1
04.01. 05:00:00;32.1;955;27.9;0;0;0;2.2;95
04.01. 05:15:00;34.2;958;23.1;0;0;0;2.2;95
04.01. 05:30:00;33.6;953;29.2;0;0;0;2.2;95
04.01. 05:45:00;32.4;0;28.4;0;0;0;2.2;95
04.01. 06:00:00;31.8;0;27.8;0;0;0;2;94.8
04.01. 06:15:00;32.3;947;26;0;0;0;2;94.8
04.01. 06:30:00;33.9;949;23.6;0;0;0;2;94.8
04.01. 06:45:00;33.4;947;29.9;0;0;0;2;94.8
04.01. 07:00:00;32.7;0;29.2;0;0;0;1.9;94.3
04.01. 07:15:00;32;0;28.6;0;0;0;1.9;94.3
04.01. 07:30:00;32.4;952;26.5;0;0;0;1.9;94.3
04.01. 07:45:00;33.9;955;23.4;0;0;0;1.9;94.3
04.01. 08:00:00;33.4;951;28.9;0;5;5;2.1;93.1
04.01. 08:15:00;32.9;0;28.2;0;5;5;2.1;93.1
04.01. 08:30:00;32.2;0;27.6;0;5;5;2.1;93.1
04.01. 08:45:00;34.5;948;25.7;0;5;5;2.1;93.1
04.01. 09:00:00;33.8;948;25.8;0;53.7;53.7;3;88.3
04.01. 09:15:00;33.5;0;25.7;0;54;54;3;88.3
04.01. 09:30:00;32.8;0;25.4;0;54;54;3;88.3
04.01. 09:45:00;32.1;0;25.1;0;54;54;3;88.3
04.01. 10:00:00;31.4;0;24.7;11.6;102;105;3.9;80.1
04.01. 10:15:00;33.8;946;22.6;11.6;102;105;3.9;80.1
04.01. 10:30:00;33.6;0;22.4;11.6;102;105;3.9;80.1
04.01. 10:45:00;32.8;0;22.2;11.6;102;105;3.9;80.1
04.01. 11:00:00;32.1;0;22;12.3;123;127;4.6;76.3
04.01. 11:15:00;31.4;0;21.8;12.3;123;127;4.6;76.3
04.01. 11:30:00;30.8;0;21.6;12.3;123;127;4.6;76.3
04.01. 11:45:00;30.2;0;21.5;12.3;123;127;4.6;76.3
04.01. 12:00:00;29.6;0;21.3;0;88.2;88.2;4.6;77.1
04.01. 12:15:00;32.3;948;21.7;0;88;88;4.6;77.1
04.01. 12:30:00;32.5;0;23.3;0;88;88;4.6;77.1
04.01. 12:45:00;31.9;0;23;0;88;88;4.6;77.1
04.01. 13:00:00;31.2;0;22.8;3.1;118;119;4.9;78.2
04.01. 13:15:00;30.6;0;22.5;3.1;118;119;4.9;78.2
04.01. 13:30:00;30;0;22.3;3.1;118;119;4.9;78.2
04.01. 13:45:00;29.4;0;22.1;3.1;118;119;4.9;78.2
04.01. 14:00:00;31.4;947;21.2;0;84.2;84.2;4.9;75.5
04.01. 14:15:00;32.6;948;24.5;0;84;84;4.9;75.5
04.01. 14:30:00;31.9;0;24.2;0;84;84;4.9;75.5
04.01. 14:45:00;31.2;0;23.9;0;84;84;4.9;75.5
04.01. 15:00:00;30.6;0;23.6;32;60.1;65.1;4.7;75.8
04.01. 15:15:00;30;0;23.4;32;60;65;4.7;75.8
04.01. 15:30:00;32.3;947;22.2;32;60;65;4.7;75.8
04.01. 15:45:00;32.3;0;22.6;32;60;65;4.7;75.8
04.01. 16:00:00;31.6;0;22.4;0;8.3;8.3;4.1;74.3
04.01. 16:15:00;31.8;949;21.9;0;8;8;4.1;74.3
04.01. 16:30:00;33.4;949;24.7;0;8;8;4.1;74.3
04.01. 16:45:00;32.6;0;25.7;0;8;8;4.1;74.3
04.01. 17:00:00;32;0;25.3;0;0.04;0.04;3.9;80.7
04.01. 17:15:00;31.2;0;24.9;0;0;0;3.9;80.7
04.01. 17:30:00;34.3;951;21.8;0;0;0;3.9;80.7
04.01. 17:45:00;30.9;953;28.1;0;0;0;3.9;80.7
04.01. 18:00:00;30.7;0;27.8;0;0;0;3.7;87.9
04.01. 18:15:00;30.2;0;27.4;0;0;0;3.7;87.9
04.01. 18:30:00;29.6;0;26.9;0;0;0;3.7;87.9
04.01. 18:45:00;32.7;949;25.1;0;0;0;3.7;87.9
04.01. 19:00:00;31.9;950;24.4;0;0;0;3.4;87.2
04.01. 19:15:00;31.4;0;24.1;0;0;0;3.4;87.2
04.01. 19:30:00;30.8;0;23.9;0;0;0;3.4;87.2
04.01. 19:45:00;30.2;0;23.6;0;0;0;3.4;87.2
04.01. 20:00:00;30.6;953;22.9;0;0;0;3.2;90
04.01. 20:15:00;33.1;955;22.7;0;0;0;3.2;90
04.01. 20:30:00;32.9;951;28.6;0;0;0;3.2;90
04.01. 20:45:00;31.9;0;27.8;0;0;0;3.2;90
04.01. 21:00:00;31.2;0;27.3;0;0;0;2.9;89.3
04.01. 21:15:00;30.6;0;26.8;0;0;0;2.9;89.3
04.01. 21:30:00;36.7;948;22.1;0;0;0;2.9;89.3
04.01. 21:45:00;32.9;950;31.2;0;0;0;2.9;89.3
04.01. 22:00:00;32.2;0;30.5;0;0;0;2.7;88.4
04.01. 22:15:00;31.6;0;29.8;0;0;0;2.7;88.4
04.01. 22:30:00;30.9;0;29.3;0;0;0;2.7;88.4
04.01. 22:45:00;31.7;952;27;0;0;0;2.7;88.4
04.01. 23:00:00;33;954;23.3;0;0;0;2.2;97.6
04.01. 23:15:00;33.7;949;28.7;0;0;0;2.2;97.7
04.01. 23:30:00;32.4;0;28.1;0;0;0;2.2;97.7
04.01. 23:45:00;31.7;0;27.5;0;0;0;2.2;97.7
05.01. 00:00:00;31.1;0;27.1;0;0;0;2.3;94.8
